area_id,area_name,GRDP
11110,Jongno-gu,33780.61
11140,Jung-gu,53823.21
11170,Yongsan-gu,12695.51
11200,Seongdong-gu,12167.85
11215,Gwangjin-gu,6587.06
11230,Dongdaemun-gu,7555.54
11260,Jungnang-gu,4741.73
11290,Seongbuk-gu,6141.92
11305,Gangbuk-gu,3283.57
11320,Dobong-gu,3404.87
11350,Nowon-gu,6620.67
11380,Eunpyeong-gu,4919.71
11410,Seodaemun-gu,8652.19
11440,Mapo-gu,19943.12
11470,Yangcheon-gu,7125.31
11500,Gangseo-gu,17458.92
11530,Guro-gu,14090.15
11545,Geumcheon-gu,17614.62
11560,Yeongdeungpo-gu,36095.49
11590,Dongjak-gu,6527.1
11620,Gwanak-gu,5963.76
11650,Seocho-gu,35570.33
11680,Gangnam-gu,71852.68
11710,Songpa-gu,29962.52
11740,Gangdong-gu,9348.66
26110,Jung-gu,3119.52
26140,Seo-gu,2977.26
26170,Dong-gu,4768.62
26200,Yeongdo-gu,2731.83
26230,Busanjin-gu,8886.67
26260,Dongnae-gu,4097.68
26290,Nam-gu,5649.21
26320,Buk-gu,3116.14
26350,Haeundae-gu,9503.6
26380,Saha-gu,7190.12
26410,Geumjeong-gu,4626.78
26440,Gangseo-gu,14481.98
26470,Yeonje-gu,6880.89
26500,Suyeong-gu,2789.69
26530,Sasang-gu,6567.88
26710,Gijang-gun,5624.19
27110,Jung-gu,5374.65
27140,Dong-gu,7671.52
27170,Seo-gu,3591.91
27200,Nam-gu,3219.01
27230,Buk-gu,10578.87
27260,Suseong-gu,8134.64
27290,Dalseo-gu,12090.47
27710,Dalseong-gun,7433.59
28110,Jung-gu,14798.64
28140,Dong-gu,3470.14
28177,Yeonsu-gu,7129.51
28185,Namdong-gu,11861.07
28200,Bupyeong-gu,16240.92
28237,Gyeyang-gu,10352.52
28245,Seo-gu,4913.79
28260,Michuhol-gu,18842.72
28710,Ganghwa-gun,1710.27
28720,Ongjin-gun,720.88
29110,Dong-gu,3650.7
29140,Seo-gu,10587.7
29155,Nam-gu,3302.37
29170,Buk-gu,10459.56
29200,Gwangsan_gu,13519.19
30110,Dong-gu,3686.41
30140,Jung-gu,5085.85
30170,Seo-gu,12714.78
30200,Yuseong-gu,14019.94
30230,Daedeok-gu,7585.21
31110,Jung-gu,4870.33
31140,Nam-gu,28681.4
31170,Dong-gu,8443.35
31200,Buk-gu,13962.65
31710,Ulju-gun,18696.88
36110,Sejong_teugbyeoljachi-si,11855.27
41110,Suwon-si,36621.01
41130,Seongnam-si,44085.98
41150,Uijeongbu-si,7473.25
41170,Anyang-si,18953.54
41190,Bucheon-si,17561.53
41210,Gwangmyeong-si,7756.1
41220,Pyeongtaek-si,32021.07
41250,Dongducheon-si,1818.82
41270,Ansan-si,25768.17
41280,Goyang-si,21702.35
41290,Gwacheon-si,4780.6
41310,Guri-si,3598.39
41360,Namyangju-si,11526.94
41370,Osan-si,5720.96
41390,Siheung-si,16198.6
41410,Gunpo-si,7536.0
41430,Uiwang-si,4025.88
41450,Hanam-si,6919.18
41460,Yongin-si,30181.67
41480,Paju-si,20602.33
41500,Icheon-si,21552.71
41550,Anseong-si,9405.29
41570,Gimpo-si,13970.41
41590,Hwaseong-si,74532.14
41610,Gwangju-si,9766.4
41630,Yangju-si,6760.6
41650,Pocheon-si,6872.3
41670,Yeoju-si,4122.57
41800,Yeoncheon-gun,1735.03
41820,Gapyeong-gun,1814.24
41830,Yangpyeong-gun,2029.27
42110,Chuncheon-si,8072.97
42130,Wonju-si,9665.61
42150,Gangneung-si,5651.55
42170,Donghae-si,3249.88
42190,Taebaek-si,1107.81
42210,Sokcho-si,1931.94
42230,Samcheok-si,2605.22
42720,Hongcheon-gun,2471.13
42730,Hoengseong-gun,1730.58
42750,Yeongwol-gun,1335.63
42760,Pyeongchang-gun,1411.24
42770,Jeongseon-gun,1381.35
42780,Cheorwon-gun,1890.78
42790,Hwacheon-gun,1418.07
42800,Yanggu-gun,1017.84
42810,Inje-gun,1615.18
42820,Goseong-gun,1194.47
42830,Yangyang-gun,1071.32
43110,Chungju-si,34965.67
43130,Jecheon-si,8091.61
43150,Cheongju-si,3264.43
43720,Boeun-gun,1110.39
43730,Okcheon-gun,1484.11
43740,Yeongdong-gun,1078.78
43745,Jincheon-gun,1104.41
43750,Goesan-gun,7614.03
43760,Eumseong-gun,1377.99
43770,Danyang-gun,8168.87
43800,Jeungpyeong-gun,1159.31
44130,Cheonan-si,24152.77
44150,Gongju-si,3712.79
44180,Boryeong-si,4234.25
44200,Asan-si,28971.66
44210,Seosan-si,18138.85
44230,Nonsan-si,4080.66
44250,Gyeryong-si,1507.7
44270,Dangjin-si,11384.43
44710,Geumsan-gun,2279.22
44760,Buyeo-gun,1925.26
44770,Seocheon-gun,2362.73
44790,Cheongyang-gun,1188.15
44800,Hongseong-gun,3349.38
44810,Yesan-gun,3323.77
44825,Taean-gun,2876.63
45110,Jeonju-si,15790.5
45130,Gunsan-si,9218.5
45140,Iksan-si,7881.21
45180,Jeongeup-si,3056.4
45190,Namwon_si,1763.49
45210,Gimje-si,2928.41
45710,Wanju-gun,4829.38
45720,Jinan-gun,626.34
45730,Muju-gun,691.33
45740,Jangsu-gun,526.61
45750,Imsil-gun,744.96
45770,Sunchang-gun,761.15
45790,Gochang-gun,1697.44
45800,Buan-gun,1481.75
46110,Mokpo-si,4530.5
46130,Yeosu-si,25870.66
46150,Suncheon-si,6125.01
46170,Naju-si,4903.81
46230,Gwangyang-si,10060.28
46710,Damyang-gun,1424.61
46720,Gokseong-gun,998.1
